SnapshotDate,TransactionType,FTR_ID,Source,Sink,MW_Current,OriginalAcquisitionCost,MW_Previous,MW_Sold,Notes,HedgeType,StartDate,EndDate,AcquisitionCost_Previous,AcquisitionCost_Current,SaleProceeds,Profit,TradingPeriods,PricePerMW
2026-01-31,INITIAL,7813977,INV,HAY,0.5,7514.4,,,,,,,,,,,,
2026-01-31,INITIAL,7814571,INV,HAY,0.5,7514.4,,,,,,,,,,,,
2026-01-31,INITIAL,7814251,OTA,HAY,7.0,-85515.36,,,,,,,,,,,,
2026-01-31,INITIAL,7813879,RDF,HAY,1.8,3508.7,,,,,,,,,,,,
2026-01-31,INITIAL,7814306,WKM,HAY,0.0,678.53,,,,,,,,,,,,
2026-01-31,INITIAL,7814322,WKM,HAY,25.4,28724.35,,,,,,,,,,,,
2026-01-31,INITIAL,7813886,WKM,HAY,3.0,3392.64,,,,,,,,,,,,
2026-01-31,INITIAL,7814125,WKM,HAY,2.0,2261.76,,,,,,,,,,,,
2026-01-31,INITIAL,7814126,WKM,HAY,0.8,904.7,,,,,,,,,,,,
2026-01-31,INITIAL,7814328,WKM,HAY,3.5,3958.08,,,,,,,,,,,,
2026-01-31,INITIAL,7814511,WKM,HAY,9.6,10856.45,,,,,,,,,,,,
2026-01-31,INITIAL,7814333,BEN,INV,0.2,793.1,,,,,,,,,,,,
2026-01-31,INITIAL,7813897,BEN,ISL,17.4,155088.29,,,,,,,,,,,,
2026-01-31,INITIAL,7813898,BEN,ISL,25.2,224610.62,,,,,,,,,,,,
2026-01-31,INITIAL,7814315,BEN,ISL,18.8,167566.66,,,,,,,,,,,,
2026-01-31,INITIAL,7814331,BEN,ISL,3.1,27630.67,,,,,,,,,,,,
2026-01-31,INITIAL,7814609,BEN,ISL,4.1,36543.79,,,,,,,,,,,,
2026-01-31,INITIAL,7813917,INV,ISL,3.5,25467.12,,,,,,,,,,,,
2026-01-31,INITIAL,7814313,INV,ISL,14.1,102596.11,,,,,,,,,,,,
2026-01-31,INITIAL,7814300,KIK,ISL,0.5,7.44,,,,,,,,,,,,
2026-01-31,INITIAL,7813993,KIK,ISL,6.0,89.28,,,,,,,,,,,,
2026-01-31,INITIAL,7814318,KIK,ISL,24.3,361.58,,,,,,,,,,,,
2026-01-31,INITIAL,7814549,KIK,ISL,9.8,145.82,,,,,,,,,,,,
2026-01-31,INITIAL,7814587,KIK,ISL,6.0,89.28,,,,,,,,,,,,
2026-01-31,INITIAL,7813900,BEN,KIK,13.7,177660.5,,,,,,,,,,,,
2026-01-31,INITIAL,7813986,ISL,KIK,1.5,6082.2,,,,,,,,,,,,
2026-01-31,INITIAL,7814317,ISL,KIK,21.7,87989.16,,,,,,,,,,,,
2026-01-31,INITIAL,7814052,ISL,KIK,7.9,32032.92,,,,,,,,,,,,
2026-01-31,INITIAL,7814332,ISL,KIK,0.3,1216.44,,,,,,,,,,,,
2026-01-31,INITIAL,7814580,ISL,KIK,1.5,6082.2,,,,,,,,,,,,
2026-01-31,INITIAL,7813892,BEN,OTA,7.9,202777.2,,,,,,,,,,,,
2026-01-31,INITIAL,7814246,BEN,OTA,6.0,154008.0,,,,,,,,,,,,
2026-01-31,INITIAL,7813901,BEN,OTA,12.7,345637.1,,,,,,,,,,,,
2026-01-31,INITIAL,7814326,BEN,OTA,1.3,35380.18,,,,,,,,,,,,
2026-01-31,INITIAL,7814500,BEN,OTA,5.3,144242.26,,,,,,,,,,,,
2026-01-31,INITIAL,7814327,WKM,OTA,21.3,171942.12,,,,,,,,,,,,
2026-01-31,INITIAL,7813890,WKM,OTA,20.0,161448.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816354,WKM,OTA,0.0,2671.92,,,,,,,,,,,,
2026-01-31,INITIAL,7815758,WKM,OTA,0.9,185253.12,,,,,,,,,,,,
2026-01-31,INITIAL,7815762,WKM,OTA,0.0,2671.92,,,,,,,,,,,,
2026-01-31,INITIAL,7816119,WKM,OTA,0.2,1781.28,,,,,,,,,,,,
2026-01-31,INITIAL,7815769,BEN,RDF,0.4,13789.44,,,,,,,,,,,,
2026-01-31,INITIAL,7816361,BEN,RDF,0.4,13789.44,,,,,,,,,,,,
2026-01-31,INITIAL,7816106,WKM,RDF,1.2,648.0,,,,,,,,,,,,
2026-01-31,INITIAL,7815760,WKM,RDF,8.9,4806.0,,,,,,,,,,,,
2026-01-31,INITIAL,7815763,WKM,RDF,10.8,5832.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816045,WKM,RDF,8.3,4482.0,,,,,,,,,,,,
