Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-23,17,0.03,Final
OTA2201,2026-01-23,18,0.02,Final
OTA2201,2026-01-23,19,0.02,Final
OTA2201,2026-01-23,20,0.02,Final
OTA2201,2026-01-23,21,0.02,Final
OTA2201,2026-01-23,22,0.03,Final
OTA2201,2026-01-23,23,0.03,Final
OTA2201,2026-01-23,24,0.03,Final
OTA2201,2026-01-23,25,0.03,Final
OTA2201,2026-01-23,26,0.03,Final
OTA2201,2026-01-23,27,0.03,Final
OTA2201,2026-01-23,28,0.03,Final
OTA2201,2026-01-23,29,0.03,Final
OTA2201,2026-01-23,30,0.03,Final
OTA2201,2026-01-23,31,0.03,Final
OTA2201,2026-01-23,32,0.27,Final
OTA2201,2026-01-23,33,0.74,Final
OTA2201,2026-01-23,34,0.26,Final
OTA2201,2026-01-23,35,0.3,Final
OTA2201,2026-01-23,36,1.27,Final
OTA2201,2026-01-23,37,0.13,Final
OTA2201,2026-01-23,38,1.4,Final
OTA2201,2026-01-23,39,1.69,Final
OTA2201,2026-01-23,40,1.98,Final
OTA2201,2026-01-23,41,0.26,Final
OTA2201,2026-01-23,42,0.03,Final
OTA2201,2026-01-23,43,1.57,Final
OTA2201,2026-01-23,44,0.21,Final
OTA2201,2026-01-23,45,0.06,Final
OTA2201,2026-01-23,46,0.04,Final
OTA2201,2026-01-23,47,0.02,Final
OTA2201,2026-01-23,48,0.02,Final
OTA2201,2026-01-22,1,0.01,Final
OTA2201,2026-01-22,2,0.01,Final
OTA2201,2026-01-22,3,0.01,Final
OTA2201,2026-01-22,4,0.01,Final
OTA2201,2026-01-22,5,0.01,Final
OTA2201,2026-01-22,6,0.01,Final
OTA2201,2026-01-22,7,0.01,Final
OTA2201,2026-01-22,8,0.01,Final
OTA2201,2026-01-22,9,0.01,Final
OTA2201,2026-01-22,10,0.01,Final
OTA2201,2026-01-22,11,0.01,Final
OTA2201,2026-01-22,12,0.57,Final
OTA2201,2026-01-22,13,1.84,Final
OTA2201,2026-01-22,14,2.62,Final
OTA2201,2026-01-22,15,5.12,Final
OTA2201,2026-01-22,16,6.06,Final
OTA2201,2026-01-22,17,6.8,Final
OTA2201,2026-01-22,18,6.37,Final
OTA2201,2026-01-22,19,1.46,Final
OTA2201,2026-01-22,20,1.61,Final
OTA2201,2026-01-22,21,16.97,Final
OTA2201,2026-01-22,22,19.96,Final
OTA2201,2026-01-22,23,12.11,Final
OTA2201,2026-01-22,24,10.93,Final
OTA2201,2026-01-22,25,1.71,Final
OTA2201,2026-01-22,26,0.09,Final
OTA2201,2026-01-22,27,0.03,Final
OTA2201,2026-01-22,28,0.03,Final
OTA2201,2026-01-22,29,0.02,Final
OTA2201,2026-01-22,30,0.02,Final
OTA2201,2026-01-22,31,0.03,Final
OTA2201,2026-01-22,32,0.03,Final
OTA2201,2026-01-22,33,0.03,Final
OTA2201,2026-01-22,34,0.03,Final
OTA2201,2026-01-22,35,0.05,Final
OTA2201,2026-01-22,36,1.4,Final
OTA2201,2026-01-22,37,0.58,Final
OTA2201,2026-01-22,38,1.4,Final
OTA2201,2026-01-22,39,1.52,Final
OTA2201,2026-01-22,40,1.97,Final
OTA2201,2026-01-22,41,0.14,Final
OTA2201,2026-01-22,42,0.15,Final
OTA2201,2026-01-22,43,1.35,Final
OTA2201,2026-01-22,44,0.49,Final
OTA2201,2026-01-22,45,0.02,Final
OTA2201,2026-01-22,46,0.02,Final
OTA2201,2026-01-22,47,0.01,Final
OTA2201,2026-01-22,48,0.01,Final
OTA2201,2026-01-21,1,1.38,Final
OTA2201,2026-01-21,2,0.07,Final
OTA2201,2026-01-21,3,0.01,Final
OTA2201,2026-01-21,4,0.01,Final
OTA2201,2026-01-21,5,0.01,Final
OTA2201,2026-01-21,6,0.01,Final
OTA2201,2026-01-21,7,0.01,Final
OTA2201,2026-01-21,8,0.01,Final
OTA2201,2026-01-21,9,0.01,Final
OTA2201,2026-01-21,10,0.01,Final
OTA2201,2026-01-21,11,1.67,Final
OTA2201,2026-01-21,12,3.68,Final
OTA2201,2026-01-21,13,5.66,Final
OTA2201,2026-01-21,14,2.22,Final
OTA2201,2026-01-21,15,15.68,Final
OTA2201,2026-01-21,16,21.17,Final
